,location_id,latitude,longitude,route_segment,n_chargers_proposed,grid_status
0,IBE_01,4304489.891626588,658248.24357504,A-31,4,Congested
1,IBE_02,4313691.606281224,652793.5156635651,A-31,4,Congested
2,IBE_03,4321871.955985377,569652.4634162581,N-430,4,Congested
3,IBE_04,4311703.790309232,540286.8272060794,N-430,19,Congested
4,IBE_05,4345426.445918975,533322.1193997232,N-310,16,Congested
5,IBE_06,4193476.801177011,691601.5722480342,AP-7N,30,Congested
6,IBE_07,4271590.8558020005,688189.3189388681,A-31,19,Congested
7,IBE_08,4277556.299729925,686742.3337790703,A-31,29,Congested
8,IBE_09,4135440.6335912915,564910.7013472723,A-92N,30,Congested
9,IBE_10,4134847.6416358016,563542.5609215006,A-92N,30,Congested
10,IBE_11,4148854.378807486,599897.710790719,N-340A,7,Congested
11,IBE_12,4139212.495700787,609688.146832742,AP-7N,6,Congested
12,IBE_13,4134969.001989759,543504.943226697,A-92N,30,Congested
13,IBE_14,4166869.2888636864,582085.7781343804,A-92N,9,Congested
14,IBE_15,4167028.746282314,582008.2316377659,A-92N,30,Congested
15,IBE_16,4710668.820137846,534581.625938937,N-232,9,Congested
16,IBE_17,4782596.566782506,282543.81145255116,A-66,8,Congested
17,IBE_18,4795467.657686933,354332.39266965573,N-634,30,Congested
18,IBE_19,4802332.242876283,327792.6614173537,N-625,30,Congested
19,IBE_20,4801963.928100997,328195.50497835054,N-625,30,Congested
20,IBE_21,4806272.391027205,323210.177436798,N-634,30,Congested
21,IBE_22,4783116.132846444,270030.1181751182,A-66,30,Congested
22,IBE_23,4784847.580723807,271532.91588325973,A-66,30,Congested
23,IBE_24,4790922.454371138,274401.7211272634,A-66,30,Congested
24,IBE_25,4787833.148883383,275548.2898047986,A-66,30,Congested
25,IBE_26,4791899.7600807175,274174.53075867606,A-66,4,Congested
26,IBE_27,4826880.078310902,201570.8551552933,A-8,4,Congested
27,IBE_28,4805056.826906359,323182.8937583917,N-634,30,Congested
28,IBE_29,4798397.745346706,371658.63027691067,N-621,30,Congested
29,IBE_30,4804383.649042755,373843.06690283073,N-634,30,Congested
30,IBE_31,4804410.79809294,373217.7649184729,N-634,30,Congested
31,IBE_32,4809522.245777163,230510.36179848958,N-634,27,Congested
32,IBE_33,4802656.313667463,287042.2983581703,A-64,30,Congested
33,IBE_34,4808263.693877994,282415.6271631922,N-634,26,Congested
34,IBE_35,4807310.935060691,283909.6813961283,N-634,30,Congested
35,IBE_36,4807932.354395782,284467.8271015639,N-634,30,Congested
36,IBE_37,4805890.941678663,226293.18109277508,N-634,30,Congested
37,IBE_38,4805881.891987906,226134.92380806652,N-634,30,Congested
38,IBE_39,4826785.016700794,224317.69983119168,N-632,30,Congested
39,IBE_40,4826246.418333112,215670.53338090295,N-634,14,Congested
40,IBE_41,4827781.003044354,208788.42642408703,N-634,12,Congested
41,IBE_42,4820782.454188553,222912.4119710498,N-634,30,Congested
42,IBE_43,4822078.811036456,221980.51755656197,N-634,4,Congested
43,IBE_44,4813761.449716729,224031.02015518962,N-634,30,Congested
44,IBE_45,4546800.499155976,355428.3831451803,A-6,30,Congested
45,IBE_46,4445638.106638189,309850.3583360148,N-502,24,Congested
46,IBE_47,4532924.508129003,334200.1606305774,A-50,20,Congested
47,IBE_48,4551005.263650473,332028.80786529195,A-6,16,Congested
48,IBE_49,4551431.12884046,332834.50870083156,A-6,30,Congested
49,IBE_50,4494130.552949079,329535.09536094364,N-110,4,Congested
50,IBE_51,4542640.00551943,351203.76294732303,A-6,30,Congested
51,IBE_52,4493673.605787671,380627.7028307847,N-110,30,Congested
52,IBE_53,4469872.803012919,318804.5109949228,N-502,4,Congested
53,IBE_54,4494672.235306562,387205.5863511936,AP-6,30,Congested
54,IBE_55,4238245.6839590855,265088.5674877608,N-432,4,Congested
55,IBE_56,4350099.142431865,318346.4900891533,N-502,6,Congested
56,IBE_57,4213979.217319707,217320.6867886068,N-630,7,Congested
57,IBE_58,4213886.7583089955,217317.4816839975,N-630,30,Congested
58,IBE_59,4213812.094883573,217512.67540074798,N-630,30,Congested
59,IBE_60,4315789.985344938,223752.5441970802,A-5,8,Congested
60,IBE_61,4322142.490168766,239734.59445796235,N-430,30,Congested
61,IBE_62,4321866.413415375,239682.11848024325,N-430,30,Congested
62,IBE_63,4321507.880571211,239602.8095305318,N-430,8,Congested
63,IBE_64,4347021.903834081,311137.0937285371,N-502,4,Congested
64,IBE_65,4252496.964353213,169435.6312427399,N-435,4,Congested
65,IBE_66,4324647.7116514295,267361.66573700367,N-430,30,Congested
66,IBE_67,4672733.884269503,901434.4731929207,C-16,4,Congested
67,IBE_68,4576247.366209556,884283.6053935208,N-340,30,Congested
68,IBE_69,4686102.158709176,902179.2585383018,C-16,30,Congested
69,IBE_70,4575432.039128889,897655.8055372001,AP-7N,30,Congested
70,IBE_71,4584050.852629849,889466.5284632985,N-340,30,Congested
71,IBE_72,4587876.95915831,893565.1121751545,N-340,30,Congested
72,IBE_73,4587276.49088352,892821.2173791584,N-340,30,Congested
73,IBE_74,4574336.026062889,897248.4605940494,N-340,30,Congested
74,IBE_75,4786265.774931737,520062.21376235,AP-8,27,Congested
75,IBE_76,4793789.047822031,525393.6502298437,AP-8,30,Congested
76,IBE_77,4784259.545874816,517428.1723833838,AP-8,19,Congested
77,IBE_78,4790476.740713485,487587.89967376774,N-634,30,Congested
78,IBE_79,4801042.007881372,491854.4208937983,A-8,30,Congested
79,IBE_80,4611589.152021966,441675.1318144062,N-1,30,Congested
80,IBE_81,4611613.198035686,441749.35494661884,N-1,30,Congested
81,IBE_82,4612916.451513056,438947.70817711134,N-122,4,Congested
82,IBE_83,4612545.48850676,442399.8543644082,N-1A,30,Congested
83,IBE_84,4610014.666915726,442247.6964501417,A-11,30,Congested
84,IBE_85,4611037.463411504,434818.65389483405,N-122,4,Congested
85,IBE_86,4608634.878336964,426801.51146261476,N-122,30,Congested
86,IBE_87,4607403.013107703,442944.16098050826,N-1,30,Congested
87,IBE_88,4654224.198207123,436534.3684830132,N-622,19,Congested
88,IBE_89,4664720.888292483,440758.85659868416,A-1,12,Congested
89,IBE_90,4695271.132165336,398106.8624362855,N-120,22,Congested
90,IBE_91,4604916.279700397,441891.823264109,A-1,30,Congested
91,IBE_92,4647408.120389283,488208.3663864109,N-234,12,Congested
92,IBE_93,4602679.912102245,441183.58695106435,N-1,30,Congested
93,IBE_94,4609249.907247922,451855.3131329593,N-122,30,Congested
94,IBE_95,4757895.092014148,430732.1864321739,N-623,30,Congested
95,IBE_96,4461522.436188286,252591.05003947715,N-630,30,Congested
96,IBE_97,4461262.528039832,251951.03667272595,N-630,4,Congested
97,IBE_98,4408059.908537653,269140.94778670423,A-5,30,Congested
98,IBE_99,4341804.747949899,226900.26149305544,N-630,30,Congested
99,IBE_100,4467103.28020922,257162.6391584188,N-630,30,Congested
100,IBE_101,4414615.35620525,275045.4461043229,A-5,4,Congested
101,IBE_102,4376457.53987094,209531.16428416525,N-521,13,Congested
102,IBE_103,4365428.180635945,204094.82548847748,N-523,30,Congested
103,IBE_104,4372605.006212826,208835.98850321386,N-630,30,Congested
104,IBE_105,4364659.384361902,211561.95420267928,N-630,18,Congested
105,IBE_106,4383217.172441134,204656.5340549898,N-630,30,Congested
106,IBE_107,4383023.374974222,206824.94710362528,A-66,4,Congested
107,IBE_108,4383451.415876772,206207.63515256642,A-66,30,Congested
108,IBE_109,4384434.298870202,207896.83268602652,A-66,30,Congested
109,IBE_110,4431679.560703619,201096.20935374638,EX-A1,6,Congested
110,IBE_111,4436518.971807786,278502.079956842,EX-A1,30,Sufficient
111,IBE_112,4443886.9268616205,268259.85188377765,N-110,30,Congested
112,IBE_113,4396650.656987318,266758.6932095696,A-5,30,Congested
113,IBE_114,4430977.277509114,218615.46091376955,EX-A1,6,Congested
114,IBE_115,4430177.412902839,211930.63190540823,EX-A1,30,Congested
115,IBE_116,4419907.34515145,219845.53185673105,N-630,30,Congested
116,IBE_117,4442797.312188405,214119.32961352478,EX-A1,30,Congested
117,IBE_118,4442152.040575312,216168.41541793954,EX-A1,30,Congested
118,IBE_119,4426613.337627321,278674.03140566335,EX-A1,17,Sufficient
119,IBE_120,4416942.752574336,281841.1017182276,A-5,19,Congested
120,IBE_121,4419318.760810914,282500.8107496465,A-5,30,Congested
121,IBE_122,4436452.968986962,258502.81287971744,N-110,30,Congested
122,IBE_123,4418276.871814175,289053.8037510514,A-5,30,Congested
123,IBE_124,4432389.5787678985,233321.06057196914,N-630,4,Congested
124,IBE_125,4423460.90631996,222487.02894022356,N-630,30,Congested
125,IBE_126,4377549.511255012,155918.0733508609,N-521,27,Congested
126,IBE_127,4358303.9567805985,253726.84002893363,A-5,30,Congested
127,IBE_128,4428964.214925917,277116.0410056001,EX-A1,30,Sufficient
128,IBE_129,4430573.828870433,277376.8320268551,EX-A1,30,Sufficient
129,IBE_130,4433633.311525484,254691.63803761132,EX-A1,7,Congested
130,IBE_131,4371812.059543937,253011.10550174586,A-5,30,Congested
131,IBE_132,4372716.115602849,253702.65760860895,A-5,30,Congested
132,IBE_133,4370561.675974281,252052.37816299446,N-5,30,Congested
133,IBE_134,4378052.310612434,256255.85549473803,A-5,30,Congested
134,IBE_135,4379002.62375343,256462.73132226118,A-5,30,Congested
135,IBE_136,4374106.724034592,254526.59171785653,A-5,30,Congested
136,IBE_137,4366357.42464713,251479.74252653625,A-5,30,Congested
137,IBE_138,4379035.728201148,256487.69646799954,A-5,30,Congested
138,IBE_139,4439584.653994117,221950.16641947546,EX-A1,30,Congested
139,IBE_140,4002406.571240338,279141.14946873137,A-7S,12,Congested
140,IBE_141,4003514.149526236,279121.70549811807,A-7S,30,Congested
141,IBE_142,3999519.6418414847,279158.26144323125,N-350,30,Congested
142,IBE_143,4068385.8261038046,238396.56729415167,AP-4,24,Congested
143,IBE_144,4009063.7438838943,273885.63897169323,A-381,4,Congested
144,IBE_145,4006747.474366247,280653.57442616345,A-7S,30,Congested
145,IBE_146,4044621.6494995207,207070.67817016598,CA-36,4,Congested
146,IBE_147,4044663.5732711516,207017.2972199623,CA-36,30,Congested
147,IBE_148,4032270.1412490862,217853.91259456548,N-340,29,Congested
148,IBE_149,4021069.3465251126,224078.574713405,N-340,10,Sufficient
149,IBE_150,4026086.4385304158,222338.32192393165,A-48,30,Sufficient
150,IBE_151,4026219.6048681354,222325.15224060154,A-48,13,Sufficient
151,IBE_152,4022559.0832009963,225654.28197873168,A-48,11,Sufficient
152,IBE_153,4046283.9177545193,233022.9861985467,A-381,30,Sufficient
153,IBE_154,4034437.0837839856,281057.8313866837,AP-7S,30,Congested
154,IBE_155,4005861.0098723387,287566.93188559706,N-351,30,Congested
155,IBE_156,4006150.216091421,288736.53020762256,N-351,30,Congested
156,IBE_157,4008592.932083334,289098.1063957165,CA-34,30,Congested
157,IBE_158,4040260.824609318,235844.0659276824,A-381,30,Sufficient
158,IBE_159,4041084.9604322137,238769.56378754618,A-381,30,Sufficient
159,IBE_160,4060160.875489803,208527.45128940063,CA-31,30,Congested
